Gene	RC1A	RC1B	RC2A	RC2B	RC3A	RC3B	RC4A	RC4B	RH1A	RH1B	RH2A	RH2B	RH3A	RH3B	RH4A	RH4B	YC0A	YC0B	YC1A	YC1B	YC2A	YC2B	YC3A	YC3B	YC4A	YC4B	YH1A	YH1B	YH2A	YH2B	YH3A	YH3B	YH4A	YH4B	YM9A	YM9B
CNAG_00001	13.5247	51.8556	12.8313	0	7.06883	9.50148	13.1938	6.09579	26.0623	0	15.148	16.1861	10.8515	0	4.5352	14.4892	0	0	0	0	16.5442	5.48458	0	11.7566	0	14.6433	0	4.74235	0	0	0	0	15.0759	0	0	9.90405
CNAG_00002	1.76946	26.8527	21.3219	5.20294	9.86326	20.7929	5.65066	6.18269	4.99865	12.5723	13.1864	26.0231	5.47014	3.44043	1.81593	6.13891	0	0.959548	0	3.84489	12.0031	5.06747	0.985134	3.75448	2.99616	4.94252	2.87252	17.1322	2.4794	2.19609	7.83505	0	16.5547	6.36568	9.72835	24.9446
CNAG_00003	2.25949	2.04497	1.35762	7.27173	4.75124	6.20188	4.96872	7.02961	0	2.16485	4.37201	3.65467	2.06837	6.60298	0.638736	3.29621	11.5515	2.34403	4.75505	2.56789	3.82485	0.623615	3.83631	2.30902	5.94334	4.14977	1.17673	0.394304	1.6193	0.450567	4.97244	9.9669	3.62596	5.16598	1.01286	4.67696
CNAG_00004	5.95308	12.6862	15.3472	12.2195	13.6827	16.4074	12.3002	11.7506	3.80631	4.07706	9.31391	13.5164	2.54899	6.07589	3.22755	7.94498	8.14346	3.21739	4.99694	8.13401	4.17458	6.71177	10.6123	7.03102	10.1791	9.34045	5.89029	2.81416	4.06939	2.70671	7.6297	7.03152	8.16073	5.81475	13.3238	9.22381
CNAG_00005	0.345061	1.87311	0.746677	0	0.594056	0.324733	1.56621	0.477007	0.542402	0	3.09998	1.39497	0	2.01685	2.34652	7.25024	0.661299	1.17267	0	0.37144	0.636526	0.761241	3.51215	0.939509	3.90586	3.27426	2.69324	0.902637	5.93809	11.5502	14.0662	4.5658	11.3599	7.6838	2.31907	3.80453
CNAG_00006	9.30988	17.5697	32.9094	32.8938	34.2562	30.9971	36.9059	18.3688	20.2274	60.5629	30.5241	37.1669	18.6716	25.7989	15.4066	38.7777	16.5399	20.4541	36.5503	48.6871	38.1371	29.922	24.4157	23.3959	20.8051	29.4742	39.1538	35.502	44.9157	44.0953	34.3939	39.1401	36.5223	33.5445	33.8849	54.7656
CNAG_00007	3.76565	7.8975	7.16103	8.6465	6.87623	13.2088	9.88861	12.0672	4.57495	5.90545	9.04658	7.74986	6.12748	5.33575	5.23896	6.59361	15.0891	6.59314	8.20425	12.6517	14.8387	15.1033	17.0538	17.8247	15.0834	23.9057	19.7709	16.4762	17.6742	12.6857	19.494	21.5158	21.5249	23.4533	12.423400000000001	25.632
CNAG_00008	7.60522	4.9347	13.8602	12.9648	9.40183	10.1401	12.2148	12.6849	6.95244	16.8792	11.9059	15.7337	8.96657	13.8949	8.83074	17.9158	12.1201	4.24222	5.76316	5.79162	13.3588	14.7811	8.61341	11.4267	12.9245	11.5897	14.6822	7.59569	22.3353	21.1099	19.6192	26.7123	17.5216	24.002	12.1045	14.5948
CNAG_00009	1.19917	0.81611	12.5028	6.22403	6.50299	16.3619	13.5251	29.0686	4.15687	5.1612	11.9044	10.6868	6.47174	16.9324	6.00354	17.2936	5.76223	10.4463	2.28693	1.93957	6.69488	11.3209	13.2618	22.8123	26.8843	36.2861	3.45605	4.10037	17.982	15.1545	19.9594	33.7486	21.2677	44.5486	11.3274	21.1488
CNAG_00010	27.6943	23.383	23.9895	34.7036	26.3194	31.5988	24.5901	27.6303	11.7744	30.0313	26.2464	30.4828	15.2024	21.4397	15.8757	29.2576	4.71749	4.53413	29.0539	32.3642	56.7322	59.0709	52.4135	55.6032	32.2747	29.5712	40.9838	32.5412	44.7255	39.7472	23.9677	38.5685	31.6755	25.8568	16.279	22.0847
CNAG_00011	10.654	7.74416	16.8309	6.31459	3.23612	5.34659	10.4595	9.35479	1.62734	2.03623	8.12431	9.21507	2.37524	9.68172	11.367	21.0915	23.2378	3.58057	4.5307	6.13153	7.96137	4.74748	4.99652	8.79161	4.35854	2.73142	6.71993	2.62174	10.1253	5.14431	5.61207	14.1157	14.1131	12.3195	2.88033	7.2846
CNAG_00012	6.1483	1.52084	22.3664	17.0464	16.1165	24.4293	15.1444	15.0346	7.34288	4.0107	23.2747	26.0874	17.7703	13.5829	21.1525	27.4201	11.812	7.23398	4.96817	3.41433	3.22742	4.65082	5.04892	2.10503	4.77817	6.19955	9.14035	4.11281	3.99381	8.73589	9.30946	10.177	12.4708	7.71547	12.8142	10.5401
CNAG_00013	1.35512	0	4.8267	7.99396	9.89974	3.82342	9.82761	0.944005	4.92853	11.5939	11.6445	15.4596	2.58943	7.90924	8.57743	8.24955	2.62717	3.72217	0	3.42646	0	5.37606	8.95427	8.06375	3.39707	4.26737	5.07621	1.44884	5.73391	9.98686	9.28612	17.9941	10.928	9.61421	3.7	5.8356
CNAG_00014	1.36817	1.31288	4.75623	1.9984	3.12354	4.07593	3.19939	1.45886	0.278894	9.47425	4.04679	2.06676	2.99427	1.95994	3.28418	4.64294	13.426	1.48654	0.556567	2.52325	4.09231	2.31829	5.35413	3.541	3.61754	4.85457	2.80918	1.65056	5.59989	0.431229	4.58441	0	3.27752	1.17161	1.85545	5.69491
CNAG_00015	5.10109	19.2461	31.8271	31.991	15.0743	48.5793	29.8565	59.4901	6.53184	3.63957	10.9962	12.4637	5.71969	24.8135	6.0873100000000004	19.9736	4.94052	12.6408	3.3113	12.4313	10.9338	7.93395	4.90564	8.4639	11.6913	7.50851	19.7464	10.891	9.00552	7.81503	13.4639	10.5807	4.88291	20.3013	3.47766	6.08252
CNAG_00016	8.54753	11.0883	71.7216	57.6323	45.3444	36.4213	50.5108	62.2072	10.1678	68.4337	53.6684	39.4604	39.3828	30.6746	37.6785	74.3206	129.54	40.3085	45.6708	40.4112	51.2034	13.9315	49.1006	56.6502	85.7062	92.2747	79.3795	50.9217	191.717	61.2825	80.7905	123.621	86.2674	105.961	228.932	105.722
CNAG_00017	0.731818	0.661313	3.1711	4.35233	3.78768	3.32889	3.02703	1.85322	0.579847	0	1.16551	3.74443	0.677051	2.85202	1.81058	2.35076	0.933923	0.831598	1.22707	1.31205	4.26007	1.07339	1.17286	2.15255	1.27782	1.75288	0.379741	0.127346	0.350405	0.581686	0.291369	2.82328	1.97784	1.66566	5.56549	4.12982
CNAG_00018	4.32991	3.2605	9.55526	5.00729	8.02403	8.60279	12.7369	10.3	10.1044	12.1128	21.585	23.7085	10.3513	14.2964	15.2486	25.9211	2.30228	9.02143	2.4198	5.00267	11.4958	5.2919	11.436	11.5102	12.0178	10.097	14.3531	9.7943	28.3355	17.4934	16.8061	19.0904	23.4901	22.9926	15.1724	15.1871
CNAG_00019	218.488	98.3462	395.091	327.382	290.72	405.575	314.02	390.56	35.7338	140.415	138.346	250.597	73.3777	217.791	43.1015	96.2618	244.075	28.6404	302.653	151.262	605.906	463.041	590.199	482.529	633.023	384.717	365.309	290.953	389.06	446.345	596.802	817.466	606.372	376.464	764.073	543.23
CNAG_00020	5.26509	4.33021	19.7048	16.7817	12.3421	13.0075	19.2371	10.3848	3.89123	5.95416	21.5168	13.8181	15.0723	9.89385	24.2565	21.2584	10.432	5.35114	8.73444	7.61626	15.5253	8.98464	13.9418	9.81283	8.54649	7.94917	9.06046	6.56912	10.0031	11.6409	14.6806	15.2311	21.5778	12.495	9.83359	13.3924
CNAG_00021	19.4954	15.6515	21.7061	32.2328	22.0761	16.4699	17.1456	7.66225	11.7483	33.7316	14.6867	11.8312	10.591	8.6313	15.456	10.079	3.4004	0.50042	11.2123	12.727	56.177	44.5929	58.5477	32.2076	39.352	38.6467	23.5798	28.1079	58.3637	38.2364	36.2568	54.9825	26.6466	15.2299	32.209	47.4091
CNAG_00022	8.08365	14.7219	18.0176	21.2646	11.7197	16.479	9.1445	13.7181	1.35224	30.8541	13.431	9.48228	4.14483	6.99425	7.33616	19.5875	0	2.50121	16.1345	22.9671	40.5363	37.2119	51.2944	35.0805	36.2312	41.384	36.5423	45.6538	53.6108	57.7536	32.4383	55.0735	53.5742	32.9271	23.1344	42.191
CNAG_00023	4.25604	0.827656	13.9885	17.13	41.2941	28.6062	124.408	66.1169	1.40416	1.74445	8.57397	1.97048	6.96823	1.77621	16.9005	7.43932	5.84373	2.39135	0.773221	0.874188	7.35681	2.02634	3.93696	0	0.991614	1.63069	0.637347	0.639803	1.73639	0.731942	1.84057	1.00658	2.04377	2.10174	0.820575	2.82278
CNAG_00024	106.272	90.1536	129.566	147.33325746	98.4355	99.87260001542451	108.4080042308	77.98650471366001	49.4254	110.519	75.495	82.9399	51.4143	78.9973	32.302000026463	64.9763	85.32539999999999	31.5029	93.611400692333	121.35896	255.181	245.70610000000002	267.7579	195.8512	229.45250000000001	209.2174	155.1540357321	170.58859999999999	155.512	145.108	133.3685	240.7879	124.77100004644291	127.0038	233.409	263.404
CNAG_00024T2	24.6324	26.011	35.3437	34.1748	26.1227	17.7547	22.4681	20.2121	0	29.4561	36.4628	40.6013	27.8576	35.2888	38.6248	25.3285	0.00236187	3.99875	38.118	24.3503	60.7352	44.8894	32.253	15.314	37.3992	9.91127	56.907	31.4662	36.9808	47.7394	41.7968	36.5774	47.4126	22.7455	38.1435	19.9061
CNAG_00025	24.3283	20.3979	23.337600000000002	29.779600000000002	9.26577	11.60634	11.8726	11.13111	14.29936	15.09011	7.4939	10.88681	4.50548	18.01553	4.133352222	10.7294	22.21217766	6.380909312	22.969	17.426209999999998	18.3199	26.40786	30.1288	36.7415	39.4203	44.319	35.41631	26.377679999999998	32.7798	24.3913	31.2739	41.8558	28.8204	30.86419	10.682053621000001	11.83989
CNAG_00026	15.3394	13.0829	19.06026	30.8095	35.3916	32.479	43.266	33.0827	4.86437	11.6642	22.06790968605	26.2861	8.51983	18.4561	8.91055	29.9976	15.70416	4.83951	20.555307010739998	22.6798	57.6353	57.8932	63.7496	56.3648	60.944	54.3175	45.9115	44.2395	80.7342	88.1608	69.2426	88.8327	53.2762	55.8433	100.224	142.82165
CNAG_00027	1.31412	1.42533	4.17488	5.47006	5.43907	2.9682	5.75915	7.98794	2.70309	6.42702	8.92213	9.55639	5.28062	4.86516	4.79513	14.2737	5.03221	4.32804	0.992125	3.01612	5.55977	5.49611	3.93341	1.78493	4.02678	3.97863	2.04675	3.01974	5.66123	7.21086	7.53953	6.5187	7.36656	3.59153	5.64527	4.57323
CNAG_00028	3.32349	0.564246	9.28125	9.87041	7.85581	10.3602	7.70102	8.6192	3.24692	10.7437	13.5687	13.1072	3.98081	12.1397	6.55791	23.6299	2.39044	3.05239	9.45346	3.87752	11.9072	6.65722	14.2708	15.3001	9.93138	9.95894	16.8938	9.79539	16.6622	16.4197	19.7266	26.1173	16.1771	8.55981	15.6524	13.9714
